n,xr,phat_r,variance_r,sigma_r,tail_probability,relative_gain
70,12,0.171428571428571,0.00202915451895044,0.0450461376696209,0.0440640755091473,0.0128045499856283
71,12,0.169014084507042,0.00197814540486322,0.04447634657729,0.0483845731821117,0.0126490554308967
72,13,0.180555555555556,0.00205493398491084,0.0453313796934401,0.0253779230735862,-0.0192244458448096
73,13,0.178082191780822,0.00200505376371727,0.0447778266971195,0.0281387210866085,0.0122112541039812
74,13,0.175675675675676,0.00195694233312933,0.0442373409364683,0.0311122363235863,0.012070388415836
75,13,0.173333333333333,0.00191051851851852,0.0437094785889573,0.0343063672071775,0.0119325062568529
76,13,0.171052631578947,0.0018657056422219,0.043193814860717,0.0377286502967413,0.0117975264150275
77,13,0.168831168831169,0.00182243123717234,0.0426899430448477,0.0413862153487113,0.0116653696251214
78,13,0.166666666666667,0.00178062678062678,0.0421974736284861,0.0452857423964248,0.0115359586177996
79,13,0.164556962025316,0.00174022744651032,0.0417160334465097,0.0494334211653594,0.0114092181492923
80,14,0.175,0.0018046875,0.0424816136699161,0.0267488088214203,-0.0183521816470885
81,14,0.172839506172839,0.00176501248492307,0.042012051662863,0.0294574192505475,0.0110532996863446
82,14,0.170731707317073,0.00172661452967891,0.0415525514220115,0.0323612089605973,0.0109373435160673
83,14,0.168674698795181,0.00168944029857272,0.041102801590314,0.0354670014330847,0.0108236393748668
84,14,0.166666666666667,0.00165343915343915,0.0406625030395222,0.0387813256858673,0.0107121299219554
85,14,0.164705882352941,0.00161856299613271,0.0402313683104702,0.0423103808057344,0.0106027592210181
86,14,0.162790697674419,0.00158476612122203,0.0398091210807527,0.0460600018705906,0.0104954727480056
87,15,0.172413793103448,0.00164008364426586,0.0404979461734278,0.0253299539834548,-0.0173031977088321
88,15,0.170454545454545,0.00160681583395943,0.0400851073836584,0.0278005213343859,0.0101940673238452
89,15,0.168539325842697,0.00157453732008074,0.039680440018739,0.0304446961207905,0.0100952047114748
90,15,0.166666666666667,0.00154320987654321,0.0392837100659193,0.0332686747926678,0.00999812382706191
91,15,0.164835164835165,0.00151279706888933,0.0388946920400371,0.0362784415350655,0.00990278222778309
92,15,0.16304347826087,0.00148326415714638,0.0385131686199199,0.0394797388883429,0.00980913847381951
93,15,0.161290322580645,0.00145457800454276,0.0381389303015011,0.0428780391556699,0.0097171521281992
94,15,0.159574468085106,0.00142670699170704,0.0377717750669338,0.0464785167806695,0.00962678375258157
95,16,0.168421052631579,0.00147426738591631,0.038396189731747,0.026171822975664,-0.016531250218099
96,16,0.166666666666667,0.00144675925925926,0.0380362887156365,0.0285832428650091,0.00937335237232912
97,16,0.164948453608247,0.00142000475526284,0.0376829504585673,0.0311554240803105,0.00928950402366622
98,16,0.163265306122449,0.00139397699937951,0.0373360013844481,0.0338938560326959,0.00920705703500251
99,16,0.161616161616162,0.00136865028202647,0.0369952737795853,0.0368038523965591,0.00912598007896937
