Case,PointChromosome,RobustChromosome,PointDescription,RobustDescription,PointCenterProfit,RobustCenterProfit,PointUpperProfit,RobustUpperProfit,RobustUpperCI95Low,RobustUpperCI95High,RobustnessCost,WorstCaseGain,SameStrategy
1,10|01|01|11,11|01|00|11,新购件1检测=是；新购件2检测=否；成品检测=否；不合格品拆解=是；回收件1检测=否、利用=是；回收件2检测=是、利用=是,新购件1检测=是；新购件2检测=是；成品检测=否；不合格品拆解=是；回收件1检测=否、利用=是；回收件2检测=否、利用=是,18.84232,18.11763,10.25742,12.13144,12.0365614495727,12.2263185504273,0.724690000000002,1.87402,0
2,11|01|00|11,11|01|00|11,新购件1检测=是；新购件2检测=是；成品检测=否；不合格品拆解=是；回收件1检测=否、利用=是；回收件2检测=否、利用=是,新购件1检测=是；新购件2检测=是；成品检测=否；不合格品拆解=是；回收件1检测=否、利用=是；回收件2检测=否、利用=是,11.94874,11.94874,1.20405,1.20405,1.05653496516512,1.35156503483488,0,0,1
3,10|11|01|11,11|11|00|11,新购件1检测=是；新购件2检测=否；成品检测=是；不合格品拆解=是；回收件1检测=否、利用=是；回收件2检测=是、利用=是,新购件1检测=是；新购件2检测=是；成品检测=是；不合格品拆解=是；回收件1检测=否、利用=是；回收件2检测=否、利用=是,16.55462,15.48983,8.76603,9.8932,9.80367975984763,9.98272024015237,1.06479,1.12717,0
4,11|11|00|11,11|11|00|11,新购件1检测=是；新购件2检测=是；成品检测=是；不合格品拆解=是；回收件1检测=否、利用=是；回收件2检测=否、利用=是,新购件1检测=是；新购件2检测=是；成品检测=是；不合格品拆解=是；回收件1检测=否、利用=是；回收件2检测=否、利用=是,14.76708,14.76708,5.64962,5.64962,5.52360002500469,5.77563997499531,0,0,1
5,01|01|00|01,01|11|00|01,新购件1检测=否；新购件2检测=是；成品检测=否；不合格品拆解=是；回收件1检测=否、利用=否；回收件2检测=否、利用=是,新购件1检测=否；新购件2检测=是；成品检测=是；不合格品拆解=是；回收件1检测=否、利用=否；回收件2检测=否、利用=是,16.3049,16.27333,3.74599,6.18004,6.03869171854757,6.32138828145243,0.0315699999999985,2.43405,0
6,00|00|00|00,10|00|00|00,新购件1检测=否；新购件2检测=否；成品检测=否；不合格品拆解=否；回收件1检测=否、利用=否；回收件2检测=否、利用=否,新购件1检测=是；新购件2检测=否；成品检测=否；不合格品拆解=否；回收件1检测=否、利用=否；回收件2检测=否、利用=否,21.6692,21.32178,9.9234,13.15474,12.9974131723564,13.3120668276436,0.34742,3.23134,0
